"","identified_MA","model_type","sample_index","total_psnr","local_steps","local_psnr","local_label","local_conf1","local_conf2","remote_steps","remote_psnr","s0_hostname","s0_label","s0_conf1","s0_conf2","s1_hostname","s1_label","s1_conf1","s1_conf2","s2_hostname","s2_label","s2_conf1","s2_conf2","s3_hostname","s3_label","s3_conf1","s3_conf2","s4_hostname","s4_label","s4_conf1","s4_conf2","s5_hostname","s5_label","s5_conf1","s5_conf2","s6_hostname","s6_label","s6_conf1","s6_conf2","total_steps","gt_label"
"1","intel-xbridge","fmnist",1,76.5652407810722,170,76.56451707385,4,0.500004231929779,0.499995648860931,47,153.40966817106,"server-amdrome","4",0.50000137090683,0.499998509883881,"server-intelbroadwell","4",0.500000417232513,0.499999463558197,"server-intelcascadelake","4",0.50000137090683,0.499998509883881,"server-intelhaswell","4",0.500000417232513,0.499999463558197,"server-intelivybridge","6",0.500000178813934,0.499999701976776,"server-intelsandybridge","6",0.500000178813934,0.499999701976776,"server-intelskylake","4",0.50000137090683,0.499998509883881,217,4
"2","amd","fmnist",2,50.1426570902086,185,50.1426844382585,9,0.4997898042202,0.499779909849167,38,156.350268604263,"server-amdrome","7",0.499784976243973,0.499784618616104,"server-intelbroadwell","9",0.499785631895065,0.499783903360367,"server-intelcascadelake","9",0.499785989522934,0.499783664941788,"server-intelhaswell","9",0.499785631895065,0.499783903360367,"server-intelivybridge","9",0.499784916639328,0.499784737825394,"server-intelsandybridge","9",0.499784916639328,0.499784737825394,"server-intelskylake","9",0.499785989522934,0.499783664941788,223,4
"3","intel-xbridge","fmnist",3,59.8902333595181,112,59.8902819825055,7,0.50000411272049,0.499995529651642,20,161.575707740559,"server-amdrome","7",0.500001966953278,0.499997675418854,"server-intelbroadwell","7",0.50000125169754,0.499998390674591,"server-intelcascadelake","7",0.500000774860382,0.499998867511749,"server-intelhaswell","7",0.50000125169754,0.499998390674591,"server-intelivybridge","9",0.500000059604645,0.499999582767487,"server-intelsandybridge","9",0.500000059604645,0.499999582767487,"server-intelskylake","7",0.500000774860382,0.499998867511749,132,9
"4","intel-xlake","fmnist",4,47.1677516824803,145,47.1677603243831,5,0.498777598142624,0.498769998550415,12,164.735279902429,"server-amdrome","5",0.498774737119675,0.498772829771042,"server-intelbroadwell","5",0.49877467751503,0.498772889375687,"server-intelcascadelake","0",0.498773843050003,0.498773723840714,"server-intelhaswell","5",0.49877467751503,0.498772889375687,"server-intelivybridge","5",0.49877455830574,0.498773008584976,"server-intelsandybridge","5",0.49877455830574,0.498773008584976,"server-intelskylake","0",0.498773843050003,0.498773723840714,157,7
"5","intel-xwell","fmnist",6,45.2003173571293,220,45.2003301757984,0,0.500004351139069,0.499994814395904,28,156.28172326307,"server-amdrome","0",0.50000125169754,0.499997913837433,"server-intelbroadwell","2",0.499999821186066,0.499999344348907,"server-intelcascadelake","0",0.50000125169754,0.499997913837433,"server-intelhaswell","2",0.499999821186066,0.499999344348907,"server-intelivybridge","0",0.50000137090683,0.499997794628143,"server-intelsandybridge","0",0.50000137090683,0.499997794628143,"server-intelskylake","0",0.50000125169754,0.499997913837433,248,1
"6","amd","fmnist",8,38.7077207808627,312,38.7077250048175,7,0.49683690071106,0.496827185153961,21,159.145837627739,"server-amdrome","9",0.496832430362701,0.496831476688385,"server-intelbroadwell","7",0.496833592653275,0.496830403804779,"server-intelcascadelake","7",0.496833235025406,0.496830701828003,"server-intelhaswell","7",0.496833592653275,0.496830403804779,"server-intelivybridge","7",0.496834069490433,0.496829926967621,"server-intelsandybridge","7",0.496834069490433,0.496829926967621,"server-intelskylake","7",0.496833235025406,0.496830701828003,333,5
"7","intel-xwell","fmnist",9,53.1914283766687,171,53.1914662633922,4,0.500003576278687,0.499996423721313,28,155.598018656258,"server-amdrome","4",0.500001192092896,0.499998807907104,"server-intelbroadwell","2",0.5,0.5,"server-intelcascadelake","4",0.500000476837158,0.499999523162842,"server-intelhaswell","2",0.5,0.5,"server-intelivybridge","4",0.500000715255737,0.499999284744263,"server-intelsandybridge","4",0.500000715255737,0.499999284744263,"server-intelskylake","4",0.500000476837158,0.499999523162842,199,7
"8","intel-xwell","fmnist",10,47.4723409892765,225,47.4723599702282,0,0.50000011920929,0.499990344047546,36,155.226206887434,"server-amdrome","0",0.499995827674866,0.49999463558197,"server-intelbroadwell","2",0.499995350837708,0.499995112419128,"server-intelcascadelake","0",0.499995827674866,0.49999463558197,"server-intelhaswell","2",0.499995350837708,0.499995112419128,"server-intelivybridge","0",0.499996304512024,0.499994158744812,"server-intelsandybridge","0",0.499996304512024,0.499994158744812,"server-intelskylake","0",0.499995827674866,0.49999463558197,261,4
"9","intel-xwell","fmnist",12,60.7156292060829,124,60.7157188627566,2,0.499979853630066,0.499970316886902,35,155.18794116284,"server-amdrome","2",0.499975323677063,0.499974846839905,"server-intelbroadwell","6",0.499975144863129,0.499975025653839,"server-intelcascadelake","2",0.499975681304932,0.499974489212036,"server-intelhaswell","6",0.499975144863129,0.499975025653839,"server-intelivybridge","2",0.499977707862854,0.499972462654114,"server-intelsandybridge","2",0.499977707862854,0.499972462654114,"server-intelskylake","2",0.499975681304932,0.499974489212036,159,8
"10","amd","fmnist",13,44.3839106252876,189,44.3839201633179,3,0.493556529283524,0.49354687333107,29,158.991854938297,"server-amdrome","4",0.493551999330521,0.493551403284073,"server-intelbroadwell","3",0.493552982807159,0.493550419807434,"server-intelcascadelake","3",0.493552207946777,0.493551045656204,"server-intelhaswell","3",0.493552982807159,0.493550419807434,"server-intelivybridge","3",0.493552803993225,0.493550628423691,"server-intelsandybridge","3",0.493552803993225,0.493550628423691,"server-intelskylake","3",0.493552207946777,0.493551045656204,218,2
"11","amd","fmnist",15,46.4544071782875,200,46.4544253359295,6,0.49282118678093,0.492811799049377,42,154.132543667171,"server-amdrome","0",0.492816478013992,0.492816478013992,"server-intelbroadwell","6",0.492816597223282,0.492816358804703,"server-intelcascadelake","6",0.49281707406044,0.492815911769867,"server-intelhaswell","6",0.492816597223282,0.492816358804703,"server-intelivybridge","6",0.492818236351013,0.492814719676971,"server-intelsandybridge","6",0.492818236351013,0.492814719676971,"server-intelskylake","6",0.49281707406044,0.492815911769867,242,9
"12","intel-xlake","fmnist",16,50.6814419197188,161,50.6814590171654,7,0.499409765005112,0.499401539564133,16,161.945241031223,"server-amdrome","7",0.499407112598419,0.49940425157547,"server-intelbroadwell","7",0.499406635761261,0.499404728412628,"server-intelcascadelake","5",0.499405801296234,0.499405562877655,"server-intelhaswell","7",0.499406635761261,0.499404728412628,"server-intelivybridge","7",0.499406635761261,0.499404728412628,"server-intelsandybridge","7",0.499406635761261,0.499404728412628,"server-intelskylake","5",0.499405801296234,0.499405562877655,177,0
"13","intel-xbridge","fmnist",18,51.2101629306165,145,51.2101778052537,2,0.49996554851532,0.499956011772156,18,162.594102262291,"server-amdrome","2",0.499962210655212,0.499959349632263,"server-intelbroadwell","2",0.499963283538818,0.499958276748657,"server-intelcascadelake","2",0.499963521957398,0.499958038330078,"server-intelhaswell","2",0.499963283538818,0.499958276748657,"server-intelivybridge","6",0.499961137771607,0.499960422515869,"server-intelsandybridge","6",0.499961137771607,0.499960422515869,"server-intelskylake","2",0.499963521957398,0.499958038330078,163,7
"14","intel-xwell","fmnist",22,49.3961021290397,165,49.3961196583872,4,0.50000411272049,0.499995529651642,26,158.798523152532,"server-amdrome","4",0.500000059604645,0.499999582767487,"server-intelbroadwell","6",0.500000059604645,0.499999582767487,"server-intelcascadelake","4",0.499999821186066,0.499999821186066,"server-intelhaswell","6",0.500000059604645,0.499999582767487,"server-intelivybridge","4",0.500001966953278,0.499997675418854,"server-intelsandybridge","4",0.500001966953278,0.499997675418854,"server-intelskylake","4",0.499999821186066,0.499999821186066,191,4
"15","intel-xlake","fmnist",23,52.8067911019965,150,52.8068272851689,4,0.500004768371582,0.499994993209839,35,155.914773849285,"server-amdrome","4",0.500001788139343,0.499997973442078,"server-intelbroadwell","4",0.500000476837158,0.499999284744263,"server-intelcascadelake","2",0.5,0.499999761581421,"server-intelhaswell","4",0.500000476837158,0.499999284744263,"server-intelivybridge","4",0.500001549720764,0.499998211860657,"server-intelsandybridge","4",0.500001549720764,0.499998211860657,"server-intelskylake","2",0.5,0.499999761581421,185,4
"16","intel-xbridge","fmnist",24,64.0333597319657,117,64.0334631517539,2,0.471557825803757,0.471547901630402,25,157.912846682436,"server-amdrome","2",0.471553474664688,0.471552699804306,"server-intelbroadwell","2",0.471554845571518,0.471551269292831,"server-intelcascadelake","2",0.47155374288559,0.471552342176437,"server-intelhaswell","2",0.471554845571518,0.471551269292831,"server-intelivybridge","3",0.47155299782753,0.471552908420563,"server-intelsandybridge","3",0.47155299782753,0.471552908420563,"server-intelskylake","2",0.47155374288559,0.471552342176437,142,4
"17","intel-xlake","fmnist",26,42.2908713786814,218,42.2908778047177,7,0.498608231544495,0.498599737882614,30,160.099612515715,"server-amdrome","7",0.498604983091354,0.498602986335754,"server-intelbroadwell","7",0.498605042695999,0.498602867126465,"server-intelcascadelake","9",0.498604387044907,0.498603612184524,"server-intelhaswell","7",0.498605042695999,0.498602867126465,"server-intelivybridge","7",0.498604387044907,0.498603612184524,"server-intelsandybridge","7",0.498604387044907,0.498603612184524,"server-intelskylake","9",0.498604387044907,0.498603612184524,248,7
"18","intel-xbridge","fmnist",27,45.5183711851229,278,45.5183911704355,4,0.500003397464752,0.499994337558746,45,153.249246202864,"server-amdrome","4",0.499999344348907,0.499998390674591,"server-intelbroadwell","4",0.500000536441803,0.499997198581696,"server-intelcascadelake","4",0.499999821186066,0.499997913837433,"server-intelhaswell","4",0.500000536441803,0.499997198581696,"server-intelivybridge","2",0.499998986721039,0.49999874830246,"server-intelsandybridge","2",0.499998986721039,0.49999874830246,"server-intelskylake","4",0.499999821186066,0.499997913837433,323,7
"19","intel-xwell","fmnist",28,66.4357514870023,112,66.4358731794868,6,0.49999326467514,0.499983489513397,28,157.769127361494,"server-amdrome","6",0.499989449977875,0.499987423419952,"server-intelbroadwell","2",0.499988496303558,0.499988377094269,"server-intelcascadelake","6",0.499989688396454,0.499987185001373,"server-intelhaswell","2",0.499988496303558,0.499988377094269,"server-intelivybridge","6",0.499989926815033,0.499986946582794,"server-intelsandybridge","6",0.499989926815033,0.499986946582794,"server-intelskylake","6",0.499989688396454,0.499987185001373,140,4
