identified_MA,model_type,sample_index,total_psnr,local_steps,local_psnr,local_label,local_conf1,local_conf2,remote_steps,remote_psnr,s0_hostname,s0_label,s0_conf1,s0_conf2,s1_hostname,s1_label,s1_conf1,s1_conf2,s2_hostname,s2_label,s2_conf1,s2_conf2,s3_hostname,s3_label,s3_conf1,s3_conf2,s4_hostname,s4_label,s4_conf1,s4_conf2,s5_hostname,s5_label,s5_conf1,s5_conf2
intel-xwell,cifar10,42,53.39771865764389,253,53.39773420403656,0,0.4998909533023834,0.4998821318149567,128,151.34943030889178,server-intelbroadwell,2,0.4998869001865387,0.4998861849308014,server-intelcascadelake,0,0.4998865425586701,0.4998865425586701,server-intelhaswell,2,0.4998869001865387,0.4998861849308014,server-intelivybridge,0,0.4998883306980133,0.4998847544193268,server-intelsandybridge,0,0.4998883306980133,0.4998847544193268,server-intelskylake,0,0.4998865425586701,0.4998865425586701
intel-xwell,fmnist,0,50.25033268044052,176,50.25036782829309,6,0.500002920627594,0.4999933838844299,41,152.37546713682687,server-intelbroadwell,4,0.4999983906745911,0.4999979138374329,server-intelcascadelake,6,0.4999993443489074,0.4999969601631165,server-intelhaswell,4,0.4999983906745911,0.4999979138374329,server-intelivybridge,6,0.5000000596046448,0.4999962449073792,server-intelsandybridge,6,0.5000000596046448,0.4999962449073792,server-intelskylake,6,0.4999993443489074,0.4999969601631165
intel-xbridge,fmnist,1,76.56524462904042,170,76.56451707384996,4,0.5000042319297789,0.4999956488609314,43,153.36811360492047,server-intelbroadwell,4,0.5000008940696716,0.4999989867210388,server-intelcascadelake,4,0.5000013709068298,0.4999985098838806,server-intelhaswell,4,0.5000008940696716,0.4999989867210388,server-intelivybridge,6,0.5000004172325134,0.499999463558197,server-intelsandybridge,6,0.5000004172325134,0.499999463558197,server-intelskylake,4,0.5000013709068298,0.4999985098838806
intel-xwell,fmnist,2,50.14265831474447,185,50.142684438258534,9,0.4997898042201996,0.4997799098491669,24,156.57137780207785,server-intelbroadwell,7,0.4997847974300385,0.4997847378253937,server-intelcascadelake,9,0.4997858703136444,0.4997836649417877,server-intelhaswell,7,0.4997847974300385,0.4997847378253937,server-intelivybridge,9,0.4997861087322235,0.4997835457324982,server-intelsandybridge,9,0.4997861087322235,0.4997835457324982,server-intelskylake,9,0.4997858703136444,0.4997836649417877
intel-xbridge,fmnist,3,59.890233359518064,112,59.89028198250549,7,0.5000041127204895,0.4999955296516418,20,161.57570774055876,server-intelbroadwell,7,0.5000012516975403,0.4999983906745911,server-intelcascadelake,7,0.5000007748603821,0.4999988675117493,server-intelhaswell,7,0.5000012516975403,0.4999983906745911,server-intelivybridge,9,0.5000000596046448,0.4999995827674866,server-intelsandybridge,9,0.5000000596046448,0.4999995827674866,server-intelskylake,7,0.5000007748603821,0.4999988675117493
intel-xlake,fmnist,4,47.167751682480315,145,47.167760324383075,5,0.4987775981426239,0.498769998550415,14,164.16839936485215,server-intelbroadwell,5,0.4987746179103851,0.4987729489803314,server-intelcascadelake,0,0.4987737834453583,0.4987737834453583,server-intelhaswell,5,0.4987746179103851,0.4987729489803314,server-intelivybridge,5,0.4987740218639374,0.4987735450267792,server-intelsandybridge,5,0.4987740218639374,0.4987735450267792,server-intelskylake,0,0.4987737834453583,0.4987737834453583
failure,cifar10,0,0.0,347,56.17820939580263,2,0.483296662569046,0.4832872152328491,500,151.36396330768488,server-intelbroadwell,2,0.4832976460456848,0.4832862913608551,server-intelcascadelake,2,0.4832944273948669,0.4832895398139954,server-intelhaswell,2,0.4832976460456848,0.4832862913608551,server-intelivybridge,2,0.4832971096038818,0.4832868576049805,server-intelsandybridge,2,0.4832971096038818,0.4832868576049805,server-intelskylake,2,0.4832944273948669,0.4832895398139954
intel-xwell,fmnist,6,45.200317357129315,220,45.20033017579843,0,0.5000043511390686,0.4999948143959045,28,156.28172326306986,server-intelbroadwell,2,0.4999998211860657,0.4999993443489074,server-intelcascadelake,0,0.5000012516975403,0.4999979138374329,server-intelhaswell,2,0.4999998211860657,0.4999993443489074,server-intelivybridge,0,0.5000013709068298,0.4999977946281433,server-intelsandybridge,0,0.5000013709068298,0.4999977946281433,server-intelskylake,0,0.5000012516975403,0.4999979138374329
intel-xwell,fmnist,8,38.70772031153462,312,38.70772500481753,7,0.4968369007110596,0.4968271851539612,37,157.2798994118211,server-intelbroadwell,9,0.496832013130188,0.4968318939208984,server-intelcascadelake,7,0.4968327581882477,0.4968311488628388,server-intelhaswell,9,0.496832013130188,0.4968318939208984,server-intelivybridge,7,0.4968331754207611,0.4968307614326477,server-intelsandybridge,7,0.4968331754207611,0.4968307614326477,server-intelskylake,7,0.4968327581882477,0.4968311488628388
intel-xwell,fmnist,9,53.19142425856648,171,53.19146626339218,4,0.5000035762786865,0.4999964237213135,39,154.69791108794203,server-intelbroadwell,2,0.5,0.5,server-intelcascadelake,4,0.5000009536743164,0.4999990463256836,server-intelhaswell,2,0.5,0.5,server-intelivybridge,4,0.5000007152557373,0.4999992847442627,server-intelsandybridge,4,0.5000007152557373,0.4999992847442627,server-intelskylake,4,0.5000009536743164,0.4999990463256836
