identified_MA,model_type,sample_index,total_psnr,local_steps,local_psnr,local_label,local_conf1,local_conf2,remote_steps,remote_psnr,s0_hostname,s0_label,s0_conf1,s0_conf2,s1_hostname,s1_label,s1_conf1,s1_conf2,s2_hostname,s2_label,s2_conf1,s2_conf2,s3_hostname,s3_label,s3_conf1,s3_conf2,s4_hostname,s4_label,s4_conf1,s4_conf2,s5_hostname,s5_label,s5_conf1,s5_conf2,s6_hostname,s6_label,s6_conf1,s6_conf2
intel-xbridge,fmnist,1,76.56524078107216,170,76.56451707384996,4,0.5000042319297789,0.4999956488609314,47,153.40966817106008,server-amdrome,4,0.5000013709068298,0.4999985098838806,server-intelbroadwell,4,0.5000004172325134,0.499999463558197,server-intelcascadelake,4,0.5000013709068298,0.4999985098838806,server-intelhaswell,4,0.5000004172325134,0.499999463558197,server-intelivybridge,6,0.5000001788139343,0.4999997019767761,server-intelsandybridge,6,0.5000001788139343,0.4999997019767761,server-intelskylake,4,0.5000013709068298,0.4999985098838806
amd,fmnist,2,50.14265709020861,185,50.142684438258534,9,0.4997898042201996,0.4997799098491669,38,156.35026860426285,server-amdrome,7,0.4997849762439728,0.4997846186161041,server-intelbroadwell,9,0.4997856318950653,0.4997839033603668,server-intelcascadelake,9,0.499785989522934,0.4997836649417877,server-intelhaswell,9,0.4997856318950653,0.4997839033603668,server-intelivybridge,9,0.49978491663932795,0.4997847378253937,server-intelsandybridge,9,0.49978491663932795,0.4997847378253937,server-intelskylake,9,0.499785989522934,0.4997836649417877
intel-xbridge,fmnist,3,59.890233359518064,112,59.89028198250549,7,0.5000041127204895,0.4999955296516418,20,161.57570774055876,server-amdrome,7,0.5000019669532776,0.4999976754188538,server-intelbroadwell,7,0.5000012516975403,0.4999983906745911,server-intelcascadelake,7,0.5000007748603821,0.4999988675117493,server-intelhaswell,7,0.5000012516975403,0.4999983906745911,server-intelivybridge,9,0.5000000596046448,0.4999995827674866,server-intelsandybridge,9,0.5000000596046448,0.4999995827674866,server-intelskylake,7,0.5000007748603821,0.4999988675117493
intel-xlake,fmnist,4,47.167751682480315,145,47.167760324383075,5,0.4987775981426239,0.498769998550415,12,164.73527990242943,server-amdrome,5,0.4987747371196747,0.4987728297710418,server-intelbroadwell,5,0.4987746775150299,0.4987728893756866,server-intelcascadelake,0,0.4987738430500031,0.4987737238407135,server-intelhaswell,5,0.4987746775150299,0.4987728893756866,server-intelivybridge,5,0.4987745583057404,0.4987730085849762,server-intelsandybridge,5,0.4987745583057404,0.4987730085849762,server-intelskylake,0,0.4987738430500031,0.4987737238407135
intel-xwell,fmnist,6,45.200317357129315,220,45.20033017579843,0,0.5000043511390686,0.4999948143959045,28,156.28172326306986,server-amdrome,0,0.5000012516975403,0.4999979138374329,server-intelbroadwell,2,0.4999998211860657,0.4999993443489074,server-intelcascadelake,0,0.5000012516975403,0.4999979138374329,server-intelhaswell,2,0.4999998211860657,0.4999993443489074,server-intelivybridge,0,0.5000013709068298,0.4999977946281433,server-intelsandybridge,0,0.5000013709068298,0.4999977946281433,server-intelskylake,0,0.5000012516975403,0.4999979138374329
amd,fmnist,8,38.70772078086269,312,38.70772500481753,7,0.4968369007110596,0.4968271851539612,21,159.14583762773884,server-amdrome,9,0.4968324303627014,0.496831476688385,server-intelbroadwell,7,0.4968335926532746,0.4968304038047791,server-intelcascadelake,7,0.4968332350254059,0.4968307018280029,server-intelhaswell,7,0.4968335926532746,0.4968304038047791,server-intelivybridge,7,0.4968340694904328,0.4968299269676209,server-intelsandybridge,7,0.4968340694904328,0.4968299269676209,server-intelskylake,7,0.4968332350254059,0.4968307018280029
intel-xwell,fmnist,9,53.19142837666868,171,53.19146626339218,4,0.5000035762786865,0.4999964237213135,28,155.598018656258,server-amdrome,4,0.5000011920928955,0.4999988079071045,server-intelbroadwell,2,0.5,0.5,server-intelcascadelake,4,0.5000004768371582,0.4999995231628418,server-intelhaswell,2,0.5,0.5,server-intelivybridge,4,0.5000007152557373,0.4999992847442627,server-intelsandybridge,4,0.5000007152557373,0.4999992847442627,server-intelskylake,4,0.5000004768371582,0.4999995231628418
intel-xwell,fmnist,10,47.472340989276454,225,47.472359970228155,0,0.5000001192092896,0.4999903440475464,36,155.22620688743402,server-amdrome,0,0.4999958276748657,0.4999946355819702,server-intelbroadwell,2,0.4999953508377075,0.4999951124191284,server-intelcascadelake,0,0.4999958276748657,0.4999946355819702,server-intelhaswell,2,0.4999953508377075,0.4999951124191284,server-intelivybridge,0,0.4999963045120239,0.499994158744812,server-intelsandybridge,0,0.4999963045120239,0.499994158744812,server-intelskylake,0,0.4999958276748657,0.4999946355819702
intel-xwell,fmnist,12,60.71562920608292,124,60.71571886275657,2,0.4999798536300659,0.4999703168869018,35,155.18794116284042,server-amdrome,2,0.499975323677063,0.4999748468399048,server-intelbroadwell,6,0.4999751448631287,0.4999750256538391,server-intelcascadelake,2,0.4999756813049317,0.4999744892120361,server-intelhaswell,6,0.4999751448631287,0.4999750256538391,server-intelivybridge,2,0.499977707862854,0.4999724626541138,server-intelsandybridge,2,0.499977707862854,0.4999724626541138,server-intelskylake,2,0.4999756813049317,0.4999744892120361
amd,fmnist,13,44.38391062528759,189,44.38392016331788,3,0.4935565292835236,0.49354687333107,29,158.9918549382974,server-amdrome,4,0.4935519993305206,0.4935514032840729,server-intelbroadwell,3,0.4935529828071594,0.4935504198074341,server-intelcascadelake,3,0.4935522079467773,0.4935510456562042,server-intelhaswell,3,0.4935529828071594,0.4935504198074341,server-intelivybridge,3,0.4935528039932251,0.4935506284236908,server-intelsandybridge,3,0.4935528039932251,0.4935506284236908,server-intelskylake,3,0.4935522079467773,0.4935510456562042
amd,fmnist,15,46.454407178287475,200,46.4544253359295,6,0.4928211867809296,0.4928117990493774,42,154.13254366717072,server-amdrome,0,0.4928164780139923,0.4928164780139923,server-intelbroadwell,6,0.4928165972232818,0.4928163588047028,server-intelcascadelake,6,0.4928170740604401,0.4928159117698669,server-intelhaswell,6,0.4928165972232818,0.4928163588047028,server-intelivybridge,6,0.4928182363510132,0.4928147196769714,server-intelsandybridge,6,0.4928182363510132,0.4928147196769714,server-intelskylake,6,0.4928170740604401,0.4928159117698669
intel-xlake,fmnist,16,50.68144191971883,161,50.68145901716542,7,0.4994097650051117,0.4994015395641327,16,161.94524103122342,server-amdrome,7,0.4994071125984192,0.49940425157547,server-intelbroadwell,7,0.499406635761261,0.4994047284126282,server-intelcascadelake,5,0.4994058012962341,0.499405562877655,server-intelhaswell,7,0.499406635761261,0.4994047284126282,server-intelivybridge,7,0.499406635761261,0.4994047284126282,server-intelsandybridge,7,0.499406635761261,0.4994047284126282,server-intelskylake,5,0.4994058012962341,0.499405562877655
intel-xbridge,fmnist,18,51.21016293061652,145,51.210177805253714,2,0.4999655485153198,0.4999560117721558,18,162.5941022622911,server-amdrome,2,0.4999622106552124,0.4999593496322632,server-intelbroadwell,2,0.4999632835388184,0.4999582767486572,server-intelcascadelake,2,0.4999635219573975,0.4999580383300781,server-intelhaswell,2,0.4999632835388184,0.4999582767486572,server-intelivybridge,6,0.4999611377716065,0.4999604225158691,server-intelsandybridge,6,0.4999611377716065,0.4999604225158691,server-intelskylake,2,0.4999635219573975,0.4999580383300781
intel-xwell,fmnist,22,49.396102129039726,165,49.39611965838722,4,0.5000041127204895,0.4999955296516418,26,158.79852315253152,server-amdrome,4,0.5000000596046448,0.4999995827674866,server-intelbroadwell,6,0.5000000596046448,0.4999995827674866,server-intelcascadelake,4,0.4999998211860657,0.4999998211860657,server-intelhaswell,6,0.5000000596046448,0.4999995827674866,server-intelivybridge,4,0.5000019669532776,0.4999976754188538,server-intelsandybridge,4,0.5000019669532776,0.4999976754188538,server-intelskylake,4,0.4999998211860657,0.4999998211860657
intel-xlake,fmnist,23,52.80679110199651,150,52.80682728516892,4,0.500004768371582,0.4999949932098389,35,155.9147738492848,server-amdrome,4,0.5000017881393433,0.4999979734420776,server-intelbroadwell,4,0.5000004768371582,0.4999992847442627,server-intelcascadelake,2,0.5,0.4999997615814209,server-intelhaswell,4,0.5000004768371582,0.4999992847442627,server-intelivybridge,4,0.5000015497207642,0.4999982118606568,server-intelsandybridge,4,0.5000015497207642,0.4999982118606568,server-intelskylake,2,0.5,0.4999997615814209
intel-xbridge,fmnist,24,64.03335973196566,117,64.03346315175395,2,0.4715578258037567,0.4715479016304016,25,157.9128466824359,server-amdrome,2,0.4715534746646881,0.471552699804306,server-intelbroadwell,2,0.4715548455715179,0.4715512692928314,server-intelcascadelake,2,0.4715537428855896,0.4715523421764374,server-intelhaswell,2,0.4715548455715179,0.4715512692928314,server-intelivybridge,3,0.4715529978275299,0.4715529084205627,server-intelsandybridge,3,0.4715529978275299,0.4715529084205627,server-intelskylake,2,0.4715537428855896,0.4715523421764374
intel-xlake,fmnist,26,42.290871378681395,218,42.290877804717724,7,0.4986082315444946,0.4985997378826141,30,160.09961251571542,server-amdrome,7,0.4986049830913544,0.4986029863357544,server-intelbroadwell,7,0.4986050426959992,0.4986028671264648,server-intelcascadelake,9,0.4986043870449066,0.4986036121845245,server-intelhaswell,7,0.4986050426959992,0.4986028671264648,server-intelivybridge,7,0.4986043870449066,0.4986036121845245,server-intelsandybridge,7,0.4986043870449066,0.4986036121845245,server-intelskylake,9,0.4986043870449066,0.4986036121845245
intel-xbridge,fmnist,27,45.51837118512285,278,45.51839117043549,4,0.5000033974647522,0.4999943375587464,45,153.24924620286396,server-amdrome,4,0.4999993443489074,0.4999983906745911,server-intelbroadwell,4,0.500000536441803,0.4999971985816956,server-intelcascadelake,4,0.4999998211860657,0.4999979138374329,server-intelhaswell,4,0.500000536441803,0.4999971985816956,server-intelivybridge,2,0.4999989867210388,0.4999987483024597,server-intelsandybridge,2,0.4999989867210388,0.4999987483024597,server-intelskylake,4,0.4999998211860657,0.4999979138374329
intel-xwell,fmnist,28,66.43575148700228,112,66.43587317948683,6,0.4999932646751404,0.4999834895133972,28,157.7691273614944,server-amdrome,6,0.4999894499778748,0.4999874234199524,server-intelbroadwell,2,0.4999884963035584,0.4999883770942688,server-intelcascadelake,6,0.4999896883964538,0.4999871850013733,server-intelhaswell,2,0.4999884963035584,0.4999883770942688,server-intelivybridge,6,0.49998992681503296,0.4999869465827942,server-intelsandybridge,6,0.49998992681503296,0.4999869465827942,server-intelskylake,6,0.4999896883964538,0.4999871850013733
intel-xlake,fmnist,29,54.13409408873954,155,54.13413808994242,4,0.49999654293060297,0.4999872446060181,25,155.38381880643584,server-amdrome,4,0.499992847442627,0.4999909400939941,server-intelbroadwell,4,0.4999927282333374,0.4999910593032837,server-intelcascadelake,2,0.4999922513961792,0.4999915361404419,server-intelhaswell,4,0.4999927282333374,0.4999910593032837,server-intelivybridge,4,0.4999966621398926,0.4999871253967285,server-intelsandybridge,4,0.4999966621398926,0.4999871253967285,server-intelskylake,2,0.4999922513961792,0.4999915361404419
