success,model,sample,local_steps,local_psnr,local_conf_c1,local_conf_c2,remote_steps,remote_psnr,s1_label,s2_label,s1_conf_c1,s1_conf_c2,s2_conf_c1,s2_conf_c2
True,fmnist,0,171,50.250373267867126,0.500002920627594,0.49999338388442993,54,50.25034272265508,4,6,0.49999839067459106,0.49999791383743286,0.5000010132789612,0.49999529123306274
True,fmnist,1,158,76.56207191265085,0.5000047087669373,0.4999951720237732,109,76.5630840067361,6,4,0.5000001788139343,0.4999997019767761,0.5000006556510925,0.4999992251396179
True,fmnist,2,186,50.142682397353326,0.4997893273830414,0.4997802674770355,67,50.142657498387194,7,9,0.49978479743003845,0.49978479743003845,0.49978479743003845,0.4997847378253937
True,fmnist,3,114,59.89027524265295,0.5000041127204895,0.49999552965164185,30,59.89024395061746,7,9,0.5000014901161194,0.49999815225601196,0.5000000596046448,0.4999995827674866
True,fmnist,4,145,47.16775456311265,0.49877792596817017,0.498769611120224,15,47.16774962488695,0,5,0.49877414107322693,0.4987734258174896,0.4987761676311493,0.49877139925956726
False,fmnist,5,0,None,1.0,1.3571012758006873e-08,None,None,None,None,None,None,None,None
True,fmnist,6,231,45.2003497962836,0.5000038743019104,0.49999529123306274,42,45.200342471292096,0,2,0.5000022053718567,0.49999696016311646,0.4999998211860657,0.49999934434890747
False,fmnist,7,0,None,1.0,2.3760152956242564e-08,None,None,None,None,None,None,None,None
True,fmnist,8,311,38.70772875944749,0.4968368411064148,0.49682730436325073,208,38.707725474146095,9,7,0.4968321919441223,0.4968317747116089,0.496833473443985,0.4968305230140686
True,fmnist,9,172,53.19147779419972,0.500004768371582,0.49999523162841797,70,53.19142219951685,2,4,0.5,0.5,0.5000014305114746,0.4999985694885254
True,fmnist,10,229,47.47206202299772,0.49999988079071045,0.4999905824661255,93,47.472041719189654,2,0,0.4999953508377075,0.4999951124191284,0.4999960660934448,0.4999943971633911
False,fmnist,11,0,None,1.0,3.108871737822483e-08,None,None,None,None,None,None,None,None
True,fmnist,12,121,60.71573458197446,0.49997973442077637,0.4999704360961914,70,60.71562192883674,6,2,0.499975323677063,0.4999748468399048,0.4999774694442749,0.49997270107269287
True,fmnist,13,192,44.3839175620348,0.49355587363243103,0.4935475289821625,29,44.383911058833974,4,3,0.49355176091194153,0.4935515522956848,0.4935537278652191,0.4935496747493744
False,fmnist,14,0,None,1.0,1.574352026523229e-08,None,None,None,None,None,None,None,None
True,fmnist,15,200,46.454455366042524,0.49281856417655945,0.49280858039855957,43,46.45444174770972,0,6,0.49281376600265503,0.4928134083747864,0.49281609058380127,0.49281102418899536
True,fmnist,16,162,50.68146178973066,0.4994101822376251,0.49940112233161926,38,50.68144191971883,7,5,0.4994061589241028,0.4994052052497864,0.49940574169158936,0.4994056224822998
True,fmnist,18,146,51.2101801538853,0.4999645948410034,0.49995696544647217,31,51.21016736690649,2,6,0.49996256828308105,0.49995899200439453,0.49996089935302734,0.49996066093444824
False,fmnist,19,0,None,1.0,1.7147090858316005e-08,None,None,None,None,None,None,None,None
True,fmnist,20,116,72.42010288548198,0.49285411834716797,0.49284467101097107,73,72.41977318487957,0,2,0.49284955859184265,0.4928491413593292,0.4928521513938904,0.49284645915031433
True,fmnist,21,225,45.05048599669089,0.5000047087669373,0.4999951720237732,61,45.05047588735641,6,4,0.5000001788139343,0.4999997019767761,0.5000006556510925,0.4999992251396179
True,fmnist,22,164,49.39611278412488,0.5000045895576477,0.49999505281448364,40,49.39609250511434,6,4,0.5000000596046448,0.4999995827674866,0.5000012516975403,0.49999839067459106
True,fmnist,23,149,52.80682728516892,0.5000041723251343,0.4999955892562866,68,52.80678281006196,4,2,0.5000019073486328,0.4999978542327881,0.49999988079071045,0.49999988079071045
True,fmnist,24,118,64.03346971321332,0.4715576171875,0.4715484082698822,60,64.03335254578789,3,2,0.4715532660484314,0.4715530276298523,0.4715534746646881,0.4715525507926941
False,fmnist,25,0,None,1.0,3.8184149175890525e-09,None,None,None,None,None,None,None,None
True,fmnist,26,216,42.290874859449886,0.4986088275909424,0.4985991418361664,95,42.290869772173785,7,9,0.4986051023006439,0.498602956533432,0.4986041486263275,0.49860385060310364
True,fmnist,27,283,45.518388918564696,0.5000033974647522,0.49999433755874634,68,45.51837428143287,4,2,0.5000002980232239,0.49999743700027466,0.49999910593032837,0.49999862909317017
True,fmnist,28,116,66.43581504916926,0.4999930262565613,0.4999837279319763,25,66.43577348918558,2,6,0.49998849630355835,0.4999883770942688,0.49999040365219116,0.499986469745636
True,fmnist,29,158,54.13414371803542,0.4999964237213135,0.4999873638153076,78,54.13409971677551,2,4,0.49999189376831055,0.49999189376831055,0.4999960660934448,0.49998772144317627
False,fmnist,30,0,None,1.0,9.91570647812523e-09,None,None,None,None,None,None,None,None
True,fmnist,31,96,69.75702010715648,0.49999797344207764,0.4999889135360718,33,69.7567647948123,5,7,0.49999499320983887,0.49999189376831055,0.49999380111694336,0.49999308586120605
